"p","K","nu","delta","sparse","alpha","criterion","independent","detector","combine","ARL","CAD","PFA","power"
0,2,1000,0.0194588771757639,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,977.421568627451,0.0233333333333333,0.34
0,2,1000,0.0194588771757639,FALSE,1e-04,"ARL",TRUE,"bounded","average",1335.40666666667,337.893333333333,0.00333333333333333,1
0,2,1000,0.0194588771757639,FALSE,1e-04,"ARL",TRUE,"bounded","product",1236.28333333333,254.46,0.03,1
1,2,1000,0.0194588771757639,FALSE,1e-04,"ARL",TRUE,"oracle","joint",1173.38,199.926666666667,0.04,1
1,2,1000,0.0194588771757639,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,891.692857142857,0.04,0.466666666666667
1,2,1000,0.0194588771757639,FALSE,1e-04,"ARL",TRUE,"bounded","average",1335.97666666667,371.073333333333,0.0433333333333333,1
1,2,1000,0.0194588771757639,FALSE,1e-04,"ARL",TRUE,"bounded","product",1137.86,272.566666666667,0.17,1
0,10,1000,0.0194588771757639,FALSE,1e-04,"ARL",TRUE,"oracle","joint",1056.07666666667,95.6966666666667,0.07,1
0,10,1000,0.0194588771757639,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,856.7,0.00333333333333333,0.0666666666666667
0,10,1000,0.0194588771757639,FALSE,1e-04,"ARL",TRUE,"bounded","average",1716.59,716.59,0,1
0,10,1000,0.0194588771757639,FALSE,1e-04,"ARL",TRUE,"bounded","product",1186.26666666667,225.653333333333,0.06,1
1,10,1000,0.0194588771757639,FALSE,1e-04,"ARL",TRUE,"oracle","joint",1185.05,221.133333333333,0.0633333333333333,1
1,10,1000,0.0194588771757639,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,1207.74074074074,0.98,0.09
1,10,1000,0.0194588771757639,FALSE,1e-04,"ARL",TRUE,"bounded","average",1616.95333333333,624.043333333333,0.00666666666666667,1
1,10,1000,0.0194588771757639,FALSE,1e-04,"ARL",TRUE,"bounded","product",614.4,196.1,0.68,1
0,2,10,0.0229824974720003,FALSE,1e-04,"ARL",TRUE,"oracle","joint",87.87,77.87,0,1
0,2,10,0.0229824974720003,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,1339.61463414634,0,0.683333333333333
0,2,10,0.0229824974720003,FALSE,1e-04,"ARL",TRUE,"bounded","average",184.146666666667,174.146666666667,0,1
0,2,10,0.0229824974720003,FALSE,1e-04,"ARL",TRUE,"bounded","product",127.166666666667,117.166666666667,0,1
1,2,10,0.0229824974720003,FALSE,1e-04,"ARL",TRUE,"oracle","joint",195.136666666667,185.136666666667,0,1
1,2,10,0.0229824974720003,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,1215.455,0,0.666666666666667
1,2,10,0.0229824974720003,FALSE,1e-04,"ARL",TRUE,"bounded","average",187.226666666667,177.226666666667,0,1
1,2,10,0.0229824974720003,FALSE,1e-04,"ARL",TRUE,"bounded","product",126.58,116.58,0,1
0,10,10,0.0229824974720003,FALSE,1e-04,"ARL",TRUE,"oracle","joint",87.1966666666667,77.1966666666667,0,1
0,10,10,0.0229824974720003,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,1347.90625,0,0.106666666666667
0,10,10,0.0229824974720003,FALSE,1e-04,"ARL",TRUE,"bounded","average",418.236666666667,408.236666666667,0,1
0,10,10,0.0229824974720003,FALSE,1e-04,"ARL",TRUE,"bounded","product",121.573333333333,111.573333333333,0,1
1,10,10,0.0229824974720003,FALSE,1e-04,"ARL",TRUE,"oracle","joint",190.353333333333,180.353333333333,0,1
1,10,10,0.0229824974720003,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,1467.58490566038,0.983333333333333,0.176666666666667
1,10,10,0.0229824974720003,FALSE,1e-04,"ARL",TRUE,"bounded","average",413.003333333333,403.003333333333,0,1
1,10,10,0.0229824974720003,FALSE,1e-04,"ARL",TRUE,"bounded","product",85.53,75.53,0,1
0,2,1000,0.0229824974720003,FALSE,1e-04,"ARL",TRUE,"oracle","joint",1033.92,72.5166666666667,0.0633333333333333,1
0,2,1000,0.0229824974720003,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,823.359154929577,0.0266666666666667,0.473333333333333
0,2,1000,0.0229824974720003,FALSE,1e-04,"ARL",TRUE,"bounded","average",1269.52666666667,269.526666666667,0,1
0,2,1000,0.0229824974720003,FALSE,1e-04,"ARL",TRUE,"bounded","product",1196.92,205.456666666667,0.0166666666666667,1
1,2,1000,0.0229824974720003,FALSE,1e-04,"ARL",TRUE,"oracle","joint",1109.34333333333,162.08,0.0833333333333333,1
1,2,1000,0.0229824974720003,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,860.3625,0.04,0.533333333333333
1,2,1000,0.0229824974720003,FALSE,1e-04,"ARL",TRUE,"bounded","average",1272.73666666667,326.573333333333,0.08,1
1,2,1000,0.0229824974720003,FALSE,1e-04,"ARL",TRUE,"bounded","product",1061.72333333333,231.583333333333,0.226666666666667,1
0,10,1000,0.0229824974720003,FALSE,1e-04,"ARL",TRUE,"oracle","joint",1027.17333333333,73.0233333333333,0.0733333333333333,1
0,10,1000,0.0229824974720003,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,1228.85714285714,0,0.0233333333333333
0,10,1000,0.0229824974720003,FALSE,1e-04,"ARL",TRUE,"bounded","average",1594.23,594.23,0,1
0,10,1000,0.0229824974720003,FALSE,1e-04,"ARL",TRUE,"bounded","product",1153.59,186.303333333333,0.05,1
